Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,GroupedMatmul_Tiling,235.17,2,117.585,2.06,233.11,13346.026
host,acl,OnesLike_Tiling,71.03,2,35.515,27.83,43.2,59.059
host,acl,aclnnGroupedMatmulV5,1594.78,1,1594.78,1594.78,1594.78,0
host,acl,aclnnGroupedMatmulV5GetWorkspaceSize,7626.84,1,7626.84,7626.84,7626.84,0
host,acl,aclnnInplaceOne,1586.11,2,793.055,97.99,1488.12,483115.354
host,acl,aclnnInplaceOneGetWorkspaceSize,135638.99,2,67819.495,36.02,135602.97,4594599483.076
host,acl,aclrtBinaryLoadFromData,509.01,2,254.505,102.52,406.49,23099.44
host,acl,aclrtCreateStreamWithConfig,3294.68,2,1647.34,1294.75,1999.93,124319.708
host,acl,aclrtCtxGetSysParamOpt,43.74,36,1.215,0.49,7.63,1.636
host,acl,aclrtCtxSetSysParamOpt,3.63,2,1.815,0.66,2.97,1.334
host,acl,aclrtDestroyStreamForce,1320.73,1,1320.73,1320.73,1320.73,0
host,acl,aclrtGetCurrentContext,1.66,1,1.66,1.66,1.66,0
host,acl,aclrtGetHardwareSyncAddr,7.77,1,7.77,7.77,7.77,0
host,acl,aclrtGetResInCurrentThread,9.12,6,1.52,0.33,2.96,1.427
host,acl,aclrtGetStreamAttribute,6.42,3,2.14,1.24,3.12,0.592
host,acl,aclrtLaunchKernelWithHostArgs,571.45,3,190.483,14.04,497.2,47392.835
host,acl,aclrtMemcpy,37.76,1,37.76,37.76,37.76,0
host,acl,aclrtResetDevice,5.69,1,5.69,5.69,5.69,0
host,acl,aclrtSetDevice,55.23,1,55.23,55.23,55.23,0
host,acl,aclrtSetOpExecuteTimeOutV2,1178.81,1,1178.81,1178.81,1178.81,0
host,acl,aclrtSetStreamFailureMode,6.71,2,3.355,2.78,3.93,0.331
host,acl,aclrtSynchronizeDeviceWithTimeout,42.49,3,14.163,11.22,18.33,9.174
host,acl,aclrtSynchronizeStream,22.9,1,22.9,22.9,22.9,0
host,node,launch,1108.7,3,369.567,36.89,801.14,102236.619
