Device_id,Core ID,mac_ratio,scalar_ratio,mte1_ratio,mte2_ratio,fixpipe_ratio,icache_miss_rate
0,Core0,0.008,0.48,0.006,0.697,0.665,0.099
0,Core1,0.008,0.453,0.006,0.664,0.634,0.098
0,Core2,0.005,0.293,0.004,0.436,0.521,0.144
0,Core3,0.005,0.319,0.003,0.506,0.527,0.145
0,Core4,0.005,0.271,0.003,0.546,0.554,0.142
0,Core5,0.005,0.367,0.003,0.45,0.476,0.144
0,Core6,0.006,0.428,0.004,0.283,0.358,0.141
0,Core7,0.006,0.375,0.004,0.304,0.393,0.141
0,Core10,0.005,0.267,0.003,0.496,0.543,0.143
0,Core11,0.006,0.325,0.004,0.345,0.45,0.143
0,Core12,0.01,0.59,0.007,0.506,0.606,0.097
0,Core13,0.009,0.548,0.006,0.581,0.659,0.086
0,Core16,0.009,0.503,0.006,0.702,0.657,0.098
0,Core17,0.009,0.541,0.006,0.61,0.622,0.103
0,Core18,0.009,0.533,0.006,0.419,0.569,0.098
0,Core19,0.01,0.601,0.007,0.459,0.593,0.098
0,Core20,0.009,0.54,0.006,0.605,0.648,0.097
0,Core21,0.008,0.489,0.006,0.665,0.636,0.098
0,Core22,0.009,0.514,0.006,0.608,0.616,0.096
0,Core23,0.009,0.502,0.006,0.622,0.624,0.099
0,Average,0.007,0.447,0.005,0.525,0.568,0.116
