Device_id,Core ID,vec_ratio,mac_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio,icache_miss_rate,memory_bound
0,Core25,0.025,0.0,0.138,0.0,0.0,0.147,0.232,0.0
0,Core26,0.026,0.0,0.163,0.0,0.0,0.387,0.19,0.0
0,Core27,0.032,0.0,0.171,0.0,0.0,0.146,0.217,0.0
0,Core28,0.031,0.0,0.119,0.0,0.0,0.116,0.217,0.0
0,Core29,0.02,0.0,0.095,0.0,0.0,0.075,0.233,0.0
0,Core30,0.019,0.0,0.096,0.0,0.0,0.075,0.217,0.0
0,Core31,0.029,0.0,0.158,0.0,0.0,0.119,0.217,0.0
0,Core32,0.025,0.0,0.132,0.0,0.0,0.078,0.203,0.0
0,Core35,0.023,0.0,0.11,0.0,0.0,0.089,0.217,0.0
0,Core36,0.021,0.0,0.106,0.0,0.0,0.079,0.263,0.0
0,Core37,0.022,0.0,0.099,0.0,0.0,0.08,0.233,0.0
0,Core38,0.056,0.0,0.321,0.0,0.001,0.2,0.124,0.018
0,Core41,0.044,0.0,0.224,0.0,0.0,0.126,0.115,0.0
0,Core42,0.051,0.0,0.314,0.0,0.001,0.195,0.107,0.02
0,Core43,0.049,0.0,0.233,0.0,0.001,0.149,0.107,0.02
0,Core44,0.041,0.0,0.416,0.0,0.0,0.143,0.203,0.0
0,Core45,0.038,0.0,0.351,0.0,0.0,0.138,0.203,0.0
0,Core46,0.025,0.0,0.144,0.0,0.0,0.106,0.233,0.0
0,Core47,0.022,0.0,0.113,0.0,0.0,0.093,0.217,0.0
0,Core48,0.033,0.0,0.212,0.0,0.0,0.138,0.203,0.0
0,Core50,0.027,0.0,0.148,0.0,0.0,0.103,0.217,0.0
0,Core51,0.036,0.0,0.275,0.0,0.0,0.171,0.203,0.0
0,Core52,0.026,0.0,0.112,0.0,0.0,0.315,0.203,0.0
0,Core53,0.032,0.0,0.154,0.0,0.0,0.137,0.217,0.0
0,Core54,0.02,0.0,0.085,0.0,0.0,0.075,0.22,0.0
0,Core55,0.02,0.0,0.076,0.0,0.0,0.075,0.218,0.0
0,Core56,0.03,0.0,0.129,0.0,0.0,0.123,0.233,0.0
0,Core57,0.025,0.0,0.134,0.0,0.0,0.088,0.217,0.0
0,Core60,0.023,0.0,0.086,0.0,0.0,0.09,0.263,0.0
0,Core61,0.021,0.0,0.095,0.0,0.0,0.078,0.232,0.0
0,Core62,0.022,0.0,0.088,0.0,0.0,0.079,0.22,0.0
0,Core63,0.057,0.0,0.171,0.0,0.001,0.116,0.124,0.018
0,Core66,0.044,0.0,0.208,0.0,0.0,0.145,0.124,0.0
0,Core67,0.05,0.0,0.27,0.0,0.001,0.214,0.115,0.02
0,Core68,0.033,0.0,0.277,0.0,0.001,0.158,0.124,0.03
0,Core69,0.025,0.0,0.261,0.0,0.0,0.455,0.217,0.0
0,Core70,0.038,0.0,0.341,0.0,0.0,0.098,0.203,0.0
0,Core71,0.025,0.0,0.111,0.0,0.0,0.09,0.233,0.0
0,Core72,0.023,0.0,0.091,0.0,0.0,0.101,0.22,0.0
0,Core73,0.026,0.0,0.164,0.0,0.0,0.372,0.217,0.0
0,Average,0.031,0.0,0.175,0.0,0.0,0.144,0.199,0.0
