block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.761110,35570,10.194959,10.074308,10.098438,10.207024,33,0.408659,53,0.362496,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.577982,211.250000,5.457686,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.341110,42014,8.631282,8.529137,8.554673,8.641497,33,0.402866,53,0.316323,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.875823,211.250000,4.620600,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.297777,41936,8.647336,8.545000,8.565468,8.657569,33,0.362219,53,0.318295,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.883032,211.250000,4.629195,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.745001,40941,8.857493,8.752671,8.778877,8.867976,33,0.391246,53,0.325664,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.977402,211.250000,4.741699,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.573889,38833,9.338312,9.227799,9.255427,9.349363,33,0.400021,53,0.348827,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.193311,211.250000,4.999096,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.568333,42423,8.548067,8.446907,8.467139,8.558184,33,0.373382,53,0.299389,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.838456,211.250000,4.576053,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.522778,42341,8.564622,8.463265,8.488605,8.574758,33,0.371578,53,0.282162,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.845890,211.250000,4.584916,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.439444,42191,8.595072,8.493355,8.513699,8.605244,33,0.391790,53,0.286720,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.859563,211.250000,4.601216,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.872778,41171,8.808012,8.703775,8.724623,8.818436,33,0.394598,53,0.282893,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.955183,211.250000,4.715210,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.308889,41956,8.643213,8.540927,8.566499,8.653441,33,0.368577,53,0.285776,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.881181,211.250000,4.626988,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.798889,41038,8.836557,8.731983,8.752898,8.847015,33,0.379015,53,0.320751,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.968001,211.250000,4.730491,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.428888,34972,10.369286,10.246572,10.277251,10.381557,33,0.443183,53,0.378245,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.656263,211.250000,5.551010,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.899445,37619,9.639668,9.525589,9.554109,9.651075,33,0.434887,53,0.360084,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.328633,211.250000,5.160421,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.054445,36098,10.045837,9.926952,9.950729,10.057726,33,0.440357,53,0.373179,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.511021,211.250000,5.377857,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.347221,36625,9.901288,9.784113,9.813407,9.913006,33,0.422089,53,0.371986,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.446112,211.250000,5.300475,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.076111,36137,10.034996,9.916239,9.939990,10.046872,33,0.416139,53,0.342032,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.506153,211.250000,5.372054,
