block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.948889,37708,28,416,4,830,5,835,6.306306,0.537634,1.746931,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.064444,37916,26,418,3,834,2,836,5.855856,0.298507,1.462954,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.783890,41011,26,418,5,832,4,833,5.855856,0.537634,1.652502,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.767778,39182,26,418,4,836,5,830,5.855856,0.537313,1.651723,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.048334,41487,26,418,6,829,4,836,5.855856,0.597015,1.698915,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.640556,42553,26,418,4,830,4,836,5.855856,0.477897,1.605288,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.463888,42235,28,416,5,835,5,830,6.306306,0.597015,1.793299,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.921667,41259,26,418,5,836,3,830,5.855856,0.477897,1.605288,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.784445,42812,26,418,4,829,5,836,5.855856,0.537634,1.652502,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.389444,42101,26,418,4,832,6,833,5.855856,0.597015,1.698915,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.547777,38786,26,418,4,834,2,834,5.855856,0.358423,1.510859,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.964445,37736,28,416,6,834,4,831,6.306306,0.597015,1.793299,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.471666,38649,26,418,3,832,6,834,5.855856,0.537313,1.651723,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.768888,40984,26,418,6,827,3,838,5.855856,0.537634,1.652502,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.253334,38256,26,418,4,838,6,827,5.855856,0.597015,1.698915,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.695000,35451,26,418,4,835,4,831,5.855856,0.477897,1.605288,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.010555,37819,28,416,4,831,5,834,6.306306,0.537634,1.746931,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.791111,39224,26,418,4,834,4,833,5.855856,0.477612,1.604530,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.930000,37674,26,418,5,831,4,834,5.855856,0.537634,1.652502,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.991667,35985,26,418,6,835,3,831,5.855856,0.537313,1.651723,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.989445,39581,26,418,3,831,7,834,5.855856,0.597015,1.698915,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.213888,38185,26,418,5,832,4,833,5.855856,0.537634,1.652502,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.252777,40055,28,416,3,834,6,832,6.306306,0.537313,1.746107,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.559999,38808,26,418,5,826,4,839,5.855856,0.537634,1.652502,
