block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.948889,37708,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.064444,37916,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.783890,41011,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.767778,39182,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.048334,41487,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.640556,42553,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.463888,42235,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.921667,41259,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.784445,42812,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.389444,42101,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.547777,38786,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.964445,37736,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.471666,38649,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.768888,40984,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.253334,38256,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.695000,35451,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.010555,37819,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.791111,39224,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.930000,37674,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.991667,35985,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.989445,39581,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.213888,38185,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.252777,40055,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.559999,38808,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.577778,38840,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.333334,40200,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.726667,37308,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.313889,38365,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.429445,38573,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.422777,42161,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.699444,40859,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.026112,41447,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.653889,38977,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.609444,40697,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.108889,39796,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.473333,42252,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.535555,38764,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.379999,42084,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.408890,40336,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.586111,19055,
