block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,20.948889,37708,0.000000,0.000000,0.000000,0.000000,0.000000,0.411266,0.000451,0.313886,
1,vector0,NA,NA,NA,NA,NA,NA,21.064444,37916,0.000000,0.000000,0.000000,0.000000,0.000000,0.433405,0.000448,0.330256,
2,vector0,NA,NA,NA,NA,NA,NA,22.783890,41011,0.000000,0.000000,0.000000,0.000000,0.000000,0.384409,0.000415,0.326376,
3,vector0,NA,NA,NA,NA,NA,NA,21.767778,39182,0.000000,0.000000,0.000000,0.000000,0.000000,0.414757,0.000434,0.327599,
4,vector0,NA,NA,NA,NA,NA,NA,23.048334,41487,0.000000,0.000000,0.000000,0.000000,0.000000,0.384699,0.000410,0.258515,
5,vector0,NA,NA,NA,NA,NA,NA,23.640556,42553,0.000000,0.000000,0.000000,0.000000,0.000000,0.387869,0.000447,0.283787,
6,vector0,NA,NA,NA,NA,NA,NA,23.463888,42235,0.000000,0.000000,0.000000,0.000000,0.000000,0.402983,0.000474,0.266698,
7,vector0,NA,NA,NA,NA,NA,NA,22.921667,41259,0.000000,0.000000,0.000000,0.000000,0.000000,0.390218,0.000485,0.314574,
8,vector0,NA,NA,NA,NA,NA,NA,23.784445,42812,0.000000,0.000000,0.000000,0.000000,0.000000,0.379660,0.000444,0.308582,
9,vector0,NA,NA,NA,NA,NA,NA,23.389444,42101,0.000000,0.000000,0.000000,0.000000,0.000000,0.373910,0.000475,0.294744,
10,vector0,NA,NA,NA,NA,NA,NA,21.547777,38786,0.000000,0.000000,0.000000,0.000000,0.000000,0.422962,0.000490,0.333084,
11,vector0,NA,NA,NA,NA,NA,NA,20.964445,37736,0.000000,0.000000,0.000000,0.000000,0.000000,0.432293,0.000450,0.310446,
12,vector0,NA,NA,NA,NA,NA,NA,21.471666,38649,0.000000,0.000000,0.000000,0.000000,0.000000,0.417372,0.000440,0.331859,
13,vector0,NA,NA,NA,NA,NA,NA,22.768888,40984,0.000000,0.000000,0.000000,0.000000,0.000000,0.364850,0.000415,0.329494,
14,vector0,NA,NA,NA,NA,NA,NA,21.253334,38256,0.000000,0.000000,0.000000,0.000000,0.000000,0.433840,0.000444,0.304397,
15,vector0,NA,NA,NA,NA,NA,NA,19.695000,35451,0.000000,0.000000,0.000000,0.000000,0.000000,0.431328,0.000564,0.377902,
16,vector0,NA,NA,NA,NA,NA,NA,21.010555,37819,0.000000,0.000000,0.000000,0.000000,0.000000,0.435680,0.000502,0.329015,
17,vector0,NA,NA,NA,NA,NA,NA,21.791111,39224,0.000000,0.000000,0.000000,0.000000,0.000000,0.427264,0.000484,0.337727,
18,vector0,NA,NA,NA,NA,NA,NA,20.930000,37674,0.000000,0.000000,0.000000,0.000000,0.000000,0.423661,0.000504,0.341721,
19,vector0,NA,NA,NA,NA,NA,NA,19.991667,35985,0.000000,0.000000,0.000000,0.000000,0.000000,0.437377,0.000528,0.350785,
20,vector0,NA,NA,NA,NA,NA,NA,21.989445,39581,0.000000,0.000000,0.000000,0.000000,0.000000,0.400925,0.000480,0.320861,
21,vector0,NA,NA,NA,NA,NA,NA,21.213888,38185,0.000000,0.000000,0.000000,0.000000,0.000000,0.413173,0.000445,0.314888,
22,vector0,NA,NA,NA,NA,NA,NA,22.252777,40055,0.000000,0.000000,0.000000,0.000000,0.000000,0.400624,0.000474,0.305705,
23,vector0,NA,NA,NA,NA,NA,NA,21.559999,38808,0.000000,0.000000,0.000000,0.000000,0.000000,0.426484,0.000490,0.328953,
24,vector0,NA,NA,NA,NA,NA,NA,21.577778,38840,0.000000,0.000000,0.000000,0.000000,0.000000,0.386895,0.000438,0.326390,
25,vector0,NA,NA,NA,NA,NA,NA,22.333334,40200,0.000000,0.000000,0.000000,0.000000,0.000000,0.393358,0.000423,0.301219,
26,vector0,NA,NA,NA,NA,NA,NA,20.726667,37308,0.000000,0.000000,0.000000,0.000000,0.000000,0.397475,0.000509,0.318484,
27,vector0,NA,NA,NA,NA,NA,NA,21.313889,38365,0.000000,0.000000,0.000000,0.000000,0.000000,0.402945,0.000495,0.325192,
28,vector0,NA,NA,NA,NA,NA,NA,21.429445,38573,0.000000,0.000000,0.000000,0.000000,0.000000,0.383533,0.000441,0.325383,
29,vector0,NA,NA,NA,NA,NA,NA,23.422777,42161,0.000000,0.000000,0.000000,0.000000,0.000000,0.376889,0.000403,0.303646,
30,vector0,NA,NA,NA,NA,NA,NA,22.699444,40859,0.000000,0.000000,0.000000,0.000000,0.000000,0.402555,0.000465,0.306469,
31,vector0,NA,NA,NA,NA,NA,NA,23.026112,41447,0.000000,0.000000,0.000000,0.000000,0.000000,0.377880,0.000410,0.296596,
32,vector0,NA,NA,NA,NA,NA,NA,21.653889,38977,0.000000,0.000000,0.000000,0.000000,0.000000,0.413115,0.000436,0.317007,
33,vector0,NA,NA,NA,NA,NA,NA,22.609444,40697,0.000000,0.000000,0.000000,0.000000,0.000000,0.405583,0.000418,0.287908,
34,vector0,NA,NA,NA,NA,NA,NA,22.108889,39796,0.000000,0.000000,0.000000,0.000000,0.000000,0.415419,0.000427,0.314956,
35,vector0,NA,NA,NA,NA,NA,NA,23.473333,42252,0.000000,0.000000,0.000000,0.000000,0.000000,0.362397,0.000402,0.285762,
36,vector0,NA,NA,NA,NA,NA,NA,21.535555,38764,0.000000,0.000000,0.000000,0.000000,0.000000,0.396399,0.000439,0.313074,
37,vector0,NA,NA,NA,NA,NA,NA,23.379999,42084,0.000000,0.000000,0.000000,0.000000,0.000000,0.387772,0.000451,0.294292,
38,vector0,NA,NA,NA,NA,NA,NA,22.408890,40336,0.000000,0.000000,0.000000,0.000000,0.000000,0.393172,0.000421,0.291799,
39,vector0,NA,NA,NA,NA,NA,NA,10.586111,19055,0.000000,0.000000,0.000000,0.000000,0.000000,0.362949,0.000997,0.228601,
