block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,20.115555,36208,9.861238,10.181253,0.160749,0.044447,
1,vector0,NA,NA,20.047777,36086,9.894576,10.215674,0.161292,0.044597,
2,vector0,NA,NA,22.177778,39920,8.944280,9.234539,0.145801,0.040314,
3,vector0,NA,NA,22.738333,40929,8.723782,9.006886,0.142207,0.039320,
4,vector0,NA,NA,23.259445,41867,8.528332,8.805092,0.139662,0.038439,
5,vector0,NA,NA,23.168333,41703,8.561870,8.839719,0.140211,0.038590,
6,vector0,NA,NA,23.477222,42259,8.449222,8.723415,0.138366,0.038082,
7,vector0,NA,NA,22.813889,41065,8.694890,8.977057,0.142389,0.039190,
8,vector0,NA,NA,23.381111,42086,8.483953,8.759274,0.138935,0.038239,
9,vector0,NA,NA,22.834999,41103,8.686852,8.968757,0.142910,0.039153,
10,vector0,NA,NA,22.241667,40035,8.918588,9.208014,0.146723,0.040198,
11,vector0,NA,NA,22.900000,41220,8.662195,8.943299,0.142505,0.039042,
12,vector0,NA,NA,23.276667,41898,8.522021,8.798577,0.140199,0.038411,
13,vector0,NA,NA,23.375000,42075,8.486172,8.761564,0.139609,0.038249,
14,vector0,NA,NA,19.825001,35685,10.005763,10.330469,0.165360,0.045098,
15,vector0,NA,NA,20.157223,36283,9.840853,10.160207,0.162634,0.044355,
16,vector0,NA,NA,21.959444,39527,9.033210,9.326354,0.149287,0.040715,
17,vector0,NA,NA,21.216110,38189,9.349700,9.653115,0.154517,0.042141,
18,vector0,NA,NA,21.235001,38223,9.341382,9.644528,0.154380,0.042104,
19,vector0,NA,NA,20.577223,37039,9.639992,9.952828,0.160039,0.043449,
20,vector0,NA,NA,20.443890,36799,9.702863,10.017739,0.161083,0.043733,
21,vector0,NA,NA,19.578888,35242,10.131538,10.460326,0.168199,0.045665,
22,vector0,NA,NA,21.084999,37953,9.407838,9.713140,0.156185,0.042403,
23,vector0,NA,NA,20.138334,36249,9.850082,10.169737,0.163527,0.044396,
24,vector0,NA,NA,21.287777,38318,9.318223,9.620618,0.155397,0.041999,
25,vector0,NA,NA,22.038889,39670,9.000647,9.292735,0.150101,0.040568,
26,vector0,NA,NA,21.309444,38357,9.308748,9.610835,0.155239,0.041956,
27,vector0,NA,NA,21.796112,39233,9.100901,9.396243,0.151773,0.041020,
28,vector0,NA,NA,21.215555,38188,9.349944,9.653368,0.155926,0.042142,
29,vector0,NA,NA,21.071112,37928,9.414039,9.719543,0.157702,0.042431,
30,vector0,NA,NA,20.770000,37386,9.550518,9.860451,0.159988,0.043046,
31,vector0,NA,NA,20.365000,36657,9.740450,10.056546,0.163170,0.043902,
32,vector0,NA,NA,21.893333,39408,9.060487,9.354517,0.151779,0.040838,
33,vector0,NA,NA,22.459999,40428,8.831891,9.118503,0.147950,0.039807,
34,vector0,NA,NA,21.719444,39095,9.133026,9.429411,0.148878,0.041164,
35,vector0,NA,NA,22.825556,41086,8.690446,8.972467,0.137747,0.039170,
36,vector0,NA,NA,22.889999,41202,8.665979,8.947206,0.137359,0.039059,
37,vector0,NA,NA,22.583889,40651,8.783441,9.068480,0.139221,0.039589,
38,vector0,NA,NA,22.959999,41328,8.639559,8.919929,0.136940,0.038940,
39,vector0,NA,NA,10.304444,18548,7.403985,7.658496,0.131594,0.040491,
