block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.115555,36208,1.513333,0.075232,9.270000,0.460837,21.475674,7.320556,0.363925,27.520275,0.000000,10.227222,0.508424,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,0.202222,9.617778,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.047777,36086,1.513333,0.075486,8.481667,0.423073,23.471745,7.335556,0.365904,27.464001,0.000000,10.928333,0.545114,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.197778,9.214444,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.177778,39920,1.513333,0.068236,8.642777,0.389704,23.034208,7.270555,0.327831,27.709532,0.000000,12.947778,0.583818,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.616111,9.186111,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.738333,40929,1.513333,0.066554,8.777778,0.386034,22.679945,7.540555,0.331623,26.717356,0.000000,13.194445,0.580273,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.740000,9.676111,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.259445,41867,1.513333,0.065063,8.867778,0.381255,22.449764,7.816667,0.336064,25.773609,0.000000,13.615000,0.585354,2.668889,2.256111,0.000000,0.000000,0.000000,0.000000,0.845556,9.293889,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.168333,41703,1.513333,0.065319,8.861111,0.382466,22.466654,6.750556,0.291370,29.844017,0.000000,13.458889,0.580917,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.631667,9.556111,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.477222,42259,1.513333,0.064460,9.055000,0.385693,21.985588,7.086111,0.301829,28.430784,0.000000,13.478333,0.574103,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.289444,9.863889,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.813889,41065,1.513333,0.066334,9.096666,0.398734,21.884886,7.554444,0.331134,26.668234,0.000000,12.871111,0.564179,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,1.202222,9.867778,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.381111,42086,1.513333,0.064725,8.712222,0.372618,22.850601,7.699444,0.329302,26.166004,0.000000,13.792222,0.589887,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,1.053889,9.866667,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.834999,41103,1.513333,0.066273,8.355000,0.365886,23.827593,7.169445,0.313967,28.100321,0.000000,13.767222,0.602900,2.671111,2.258333,0.000000,0.000000,0.000000,0.000000,0.725556,9.651667,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.241667,40035,1.513333,0.068040,8.357223,0.375746,23.821253,7.102778,0.319346,28.364071,0.000000,13.155000,0.591457,2.671667,2.256667,0.000000,0.000000,0.000000,0.000000,1.090556,9.625556,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.900000,41220,1.513333,0.066084,9.132222,0.398787,21.799679,6.625000,0.289301,30.409615,0.000000,13.154445,0.574430,2.671667,2.256667,0.000000,0.000000,0.000000,0.000000,0.613333,9.273334,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.276667,41898,1.513333,0.065015,8.698334,0.373693,22.887087,6.717778,0.288606,29.989634,0.000000,13.910000,0.597594,2.671667,2.256667,0.000000,0.000000,0.000000,0.000000,0.371667,9.502778,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.375000,42075,1.513333,0.064742,8.987778,0.384504,22.150026,6.758333,0.289127,29.809673,0.000000,13.777778,0.589424,2.673889,2.255556,0.000000,0.000000,0.000000,0.000000,0.711667,9.162222,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825001,35685,1.513333,0.076335,8.740000,0.440857,22.777977,6.971667,0.351660,28.897493,0.000000,10.369445,0.523049,2.672778,2.260556,0.000000,0.000000,0.000000,0.000000,0.285000,9.624444,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.157223,36283,1.513333,0.075076,9.174444,0.455144,21.699354,7.256667,0.360003,27.762568,0.000000,10.252778,0.508640,2.676111,2.257778,0.000000,0.000000,0.000000,0.000000,0.208333,9.905000,
