block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.167223,36301,0.075039,0.000000,0.000000,0.000000,0.058070,0.016942,114272,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.807222,39253,0.069396,0.000000,0.000000,0.000000,0.053703,0.015668,114272,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.294445,38330,0.071067,0.000000,0.000000,0.000000,0.054996,0.016045,114272,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.235556,40024,0.068059,0.000000,0.000000,0.000000,0.052668,0.015366,114272,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.282223,41908,0.065000,0.000000,0.000000,0.000000,0.050301,0.014675,114272,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.299999,41940,0.064950,0.000000,0.000000,0.000000,0.050262,0.014664,114272,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.805555,41050,0.066358,0.000000,0.000000,0.000000,0.051352,0.014982,114272,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.382778,42089,0.064720,0.000000,0.000000,0.000000,0.050084,0.014612,114272,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.331112,40196,0.067768,0.000000,0.000000,0.000000,0.052443,0.015300,114272,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978889,41362,0.065858,0.000000,0.000000,0.000000,0.050965,0.014869,114272,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.020555,41437,0.065738,0.000000,0.000000,0.000000,0.050872,0.014842,114272,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.886110,35795,0.076100,0.000000,0.000000,0.000000,0.058891,0.017181,114272,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.566668,37020,0.073582,0.000000,0.000000,0.000000,0.056942,0.016613,114272,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.807222,35653,0.076403,0.000000,0.000000,0.000000,0.059125,0.017250,114272,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.523333,35142,0.077514,0.000000,0.000000,0.000000,0.059985,0.017500,114272,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.716667,37290,0.073049,0.000000,0.000000,0.000000,0.056530,0.016492,114272,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.915556,35848,0.075988,0.000000,0.000000,0.000000,0.058804,0.017156,114272,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.320555,36577,0.074473,0.000000,0.000000,0.000000,0.057632,0.016814,114272,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.358889,36646,0.074333,0.000000,0.000000,0.000000,0.057523,0.016782,114272,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.223333,36402,0.074831,0.000000,0.000000,0.000000,0.057909,0.016895,114272,
