block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.761110,35570,27,417,2,845,1,826,6.081081,0.179211,1.416431,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.341110,42014,27,417,4,823,6,842,6.081081,0.597015,1.746107,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.297777,41936,26,418,4,837,5,828,5.855856,0.537634,1.652502,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.745001,40941,26,418,6,828,4,837,5.855856,0.597015,1.698915,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.573889,38833,26,418,4,831,4,836,5.855856,0.477612,1.604530,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.568333,42423,28,416,5,835,4,830,6.306306,0.537634,1.746931,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.522778,42341,26,418,5,830,5,835,5.855856,0.597015,1.698915,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.439444,42191,26,418,4,836,4,830,5.855856,0.477897,1.605288,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.872778,41171,26,418,4,837,5,828,5.855856,0.537634,1.652502,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.308889,41956,26,418,5,828,5,837,5.855856,0.597015,1.698915,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.798889,41038,28,416,5,838,4,827,6.306306,0.537634,1.746931,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.428888,34972,26,418,5,826,5,839,5.855856,0.597015,1.698915,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.899445,37619,26,418,4,842,3,826,5.855856,0.417910,1.557338,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.054445,36098,26,418,2,826,7,839,5.855856,0.537634,1.652502,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.347221,36625,26,418,6,832,4,833,5.855856,0.597015,1.698915,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.076111,36137,26,418,4,833,5,832,5.855856,0.537634,1.652502,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.251112,38252,26,418,5,831,4,834,5.855856,0.537634,1.652502,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.448889,38608,28,416,4,835,5,831,6.306306,0.537313,1.746107,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.271111,36488,27,472,4,841,3,826,5.410821,0.418160,1.564657,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.718334,37293,31,469,4,826,5,840,6.200000,0.537313,1.839080,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.768888,37384,27,471,6,835,4,830,5.421687,0.597015,1.702715,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.639444,37151,28,470,4,830,5,835,5.622490,0.537634,1.703499,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.318333,36573,31,469,4,833,5,833,6.200000,0.537313,1.839080,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.811111,37460,28,471,4,833,5,832,5.611222,0.537634,1.702715,
