block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,19.761110,35570,10.038113,10.363869,0.163632,0.045244,
1,vector0,NA,NA,23.341110,42014,8.498493,8.774285,0.138535,0.038305,
2,vector0,NA,NA,23.297777,41936,8.514299,8.790606,0.138792,0.038376,
3,vector0,NA,NA,22.745001,40941,8.721225,9.004245,0.142165,0.039308,
4,vector0,NA,NA,21.573889,38833,9.194646,9.493030,0.150573,0.041442,
5,vector0,NA,NA,23.568333,42423,8.416559,8.689692,0.137831,0.037935,
6,vector0,NA,NA,23.522778,42341,8.432858,8.706521,0.138098,0.038009,
7,vector0,NA,NA,23.439444,42191,8.462840,8.737475,0.138589,0.038144,
8,vector0,NA,NA,22.872778,41171,8.672504,8.953943,0.142023,0.039089,
9,vector0,NA,NA,23.308889,41956,8.510241,8.786414,0.140005,0.038357,
10,vector0,NA,NA,22.798889,41038,8.700611,8.982963,0.143137,0.039215,
11,vector0,NA,NA,19.428888,34972,10.209759,10.541085,0.167964,0.046018,
12,vector0,NA,NA,20.899445,37619,9.491365,9.799378,0.156145,0.042780,
13,vector0,NA,NA,20.054445,36098,9.891286,10.212277,0.162725,0.044582,
14,vector0,NA,NA,20.347221,36625,9.748960,10.065333,0.161116,0.043941,
15,vector0,NA,NA,20.076111,36137,9.880611,10.201257,0.163291,0.044534,
16,vector0,NA,NA,21.251112,38252,9.334300,9.637217,0.154263,0.042072,
17,vector0,NA,NA,21.448889,38608,9.248230,9.548353,0.152840,0.041684,
18,vector0,NA,NA,20.271111,36488,9.785564,10.103125,0.163191,0.044106,
19,vector0,NA,NA,20.718334,37293,9.574334,9.885040,0.160387,0.043154,
20,vector0,NA,NA,20.768888,37384,9.551029,9.860978,0.159997,0.043049,
21,vector0,NA,NA,20.639444,37151,9.610930,9.922823,0.161000,0.043318,
22,vector0,NA,NA,20.318333,36573,9.762821,10.079644,0.163545,0.044003,
23,vector0,NA,NA,20.811111,37460,9.531651,9.840972,0.159672,0.042961,
24,vector0,NA,NA,21.655556,38980,9.159971,9.457230,0.154134,0.041286,
25,vector0,NA,NA,21.528889,38752,9.213864,9.512872,0.155041,0.041529,
26,vector0,NA,NA,21.965555,39538,9.030696,9.323760,0.151959,0.040703,
27,vector0,NA,NA,21.645555,38962,9.164203,9.461598,0.154205,0.041305,
28,vector0,NA,NA,21.416666,38550,9.262145,9.562719,0.155853,0.041746,
29,vector0,NA,NA,22.011667,39621,9.011778,9.304228,0.152317,0.040618,
30,vector0,NA,NA,19.703333,35466,10.067549,10.394259,0.168650,0.045377,
31,vector0,NA,NA,21.543888,38779,9.207449,9.506248,0.154241,0.041500,
32,vector0,NA,NA,22.408890,40336,8.852035,9.139299,0.148288,0.039898,
33,vector0,NA,NA,22.086111,39755,8.981402,9.272866,0.150455,0.040481,
34,vector0,NA,NA,22.044445,39680,8.998379,9.290393,0.146683,0.040558,
35,vector0,NA,NA,23.067223,41521,8.599400,8.878467,0.136304,0.038759,
36,vector0,NA,NA,22.768888,40984,8.712074,8.994799,0.138090,0.039267,
37,vector0,NA,NA,22.457222,40423,8.832983,9.119630,0.151950,0.051756,
38,vector0,NA,NA,21.967777,39542,9.029783,9.322817,0.143125,0.040699,
39,vector0,NA,NA,10.720555,19297,7.116604,7.361237,0.126487,0.038919,
