block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.761110,35570,1.513333,0.076581,8.075556,0.408659,24.652113,7.163333,0.362496,28.124292,0.000000,10.985000,0.555890,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,0.249444,10.087222,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.341110,42014,1.513333,0.064836,9.403334,0.402866,21.171164,7.383333,0.316323,27.286280,0.000000,13.150000,0.563384,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.275556,9.433333,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.297777,41936,1.513333,0.064956,8.438889,0.362219,23.590727,7.415555,0.318295,27.167715,0.000000,14.062778,0.603610,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,1.262222,10.118333,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.745001,40941,1.513333,0.066535,8.898889,0.391246,22.371277,7.407222,0.325664,27.198278,0.000000,12.998889,0.571505,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,1.312778,9.595555,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.573889,38833,1.513333,0.070147,8.630000,0.400021,23.068310,7.525556,0.348827,26.770607,0.000000,12.123889,0.561970,2.668889,2.256111,0.000000,0.000000,0.000000,0.000000,0.287778,9.948334,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.568333,42423,1.513333,0.064210,8.800000,0.373382,22.622671,7.056111,0.299389,28.551662,0.000000,13.858889,0.588030,2.669445,2.255000,0.000000,0.000000,0.000000,0.000000,0.225556,10.182222,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.522778,42341,1.513333,0.064335,8.740556,0.371578,22.776529,6.637222,0.282162,30.353617,0.000000,14.048333,0.597223,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.946667,9.147778,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.439444,42191,1.513333,0.064564,9.183333,0.391790,21.678350,6.720556,0.286720,29.977238,0.000000,13.502222,0.576047,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,1.444444,9.305000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.872778,41171,1.513333,0.066163,9.025556,0.394598,22.057316,6.470556,0.282893,31.135456,0.000000,13.192778,0.576789,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.373333,9.930000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.308889,41956,1.513333,0.064925,8.591111,0.368577,23.172733,6.661111,0.285776,30.244761,0.000000,14.023334,0.601630,2.670000,2.258889,0.000000,0.000000,0.000000,0.000000,0.387222,9.357778,
