block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,19.761110,35570,0.000000,0.000000,0.000000,0.000000,0.000000,0.401378,0.000478,0.365139,
1,vector0,NA,NA,NA,NA,NA,NA,23.341110,42014,0.000000,0.000000,0.000000,0.000000,0.000000,0.396582,0.000405,0.287666,
2,vector0,NA,NA,NA,NA,NA,NA,23.297777,41936,0.000000,0.000000,0.000000,0.000000,0.000000,0.355995,0.000453,0.318938,
3,vector0,NA,NA,NA,NA,NA,NA,22.745001,40941,0.000000,0.000000,0.000000,0.000000,0.000000,0.384871,0.000464,0.302875,
4,vector0,NA,NA,NA,NA,NA,NA,21.573889,38833,0.000000,0.000000,0.000000,0.000000,0.000000,0.393222,0.000438,0.331059,
5,vector0,NA,NA,NA,NA,NA,NA,23.568333,42423,0.000000,0.000000,0.000000,0.000000,0.000000,0.367112,0.000448,0.311435,
6,vector0,NA,NA,NA,NA,NA,NA,23.522778,42341,0.000000,0.000000,0.000000,0.000000,0.000000,0.365296,0.000472,0.275100,
7,vector0,NA,NA,NA,NA,NA,NA,23.439444,42191,0.000000,0.000000,0.000000,0.000000,0.000000,0.385485,0.000450,0.282738,
8,vector0,NA,NA,NA,NA,NA,NA,22.872778,41171,0.000000,0.000000,0.000000,0.000000,0.000000,0.388137,0.000461,0.320031,
9,vector0,NA,NA,NA,NA,NA,NA,23.308889,41956,0.000000,0.000000,0.000000,0.000000,0.000000,0.362237,0.000477,0.290948,
10,vector0,NA,NA,NA,NA,NA,NA,22.798889,41038,0.000000,0.000000,0.000000,0.000000,0.000000,0.372582,0.000414,0.327087,
11,vector0,NA,NA,NA,NA,NA,NA,19.428888,34972,0.000000,0.000000,0.000000,0.000000,0.000000,0.435720,0.000543,0.352911,
